tarih,istasyon,sicaklik_ort_c,bagil_nem_ort_yuzde,yagis_toplam_mm,basinc_ort_hpa,ruzgar_u_ort_ms,ruzgar_v_ort_ms,ruzgar_hizi_ort_ms,saat_sayisi
2024-08-04,alanya,27.27711,70.4761,0.40584802627563477,944.1739,0.49268532,0.57114536,1.3076292,24
2024-08-05,alanya,26.8479,69.52652,0.04087388515472412,944.2392,0.8687846,0.26694402,1.6302992,24
2024-08-06,alanya,26.967936,70.16412,0.007316470146179199,944.0643,0.79978627,0.39839044,1.4845691,24
2024-08-07,alanya,27.04065,71.26597,0.9993910789489746,944.35693,0.45192146,0.51144725,1.3601274,24
2024-08-08,alanya,27.358511,69.58489,0.045239925384521484,945.83624,0.367534,0.63444734,1.2939261,24
2024-08-09,alanya,26.942688,72.18946,0.0,946.5647,0.74959373,0.51322097,1.4185015,24
2024-08-10,alanya,26.670572,75.51028,0.9540915489196777,946.9937,0.90581447,0.49732706,1.4147755,24
2024-08-11,alanya,27.78599,66.572586,2.542638685554266,946.0493,0.49812904,0.09137329,1.3774319,24
2024-08-12,alanya,28.47351,47.781475,0.0008583068620282575,945.0212,-0.4353784,-0.4523499,1.6932548,24
2024-08-13,alanya,28.614645,43.0354,0.0,945.79956,-0.071930565,-0.08742563,2.0425231,24
2024-08-14,alanya,27.641418,56.102646,0.0,946.5877,0.035114925,0.36295918,1.6820098,24
2024-08-15,alanya,27.532999,62.07622,0.6893575191497803,946.1504,-0.017669043,0.3176788,1.4529476,24
2024-08-16,alanya,28.43695,47.196003,0.0008583068620282575,943.88007,-0.55300266,-0.40756467,1.540423,24
2024-08-17,alanya,28.283274,36.836277,0.0,942.4758,-0.58729935,-0.6169917,2.1962507,24
2024-08-18,alanya,27.092337,46.260956,0.0008583068620282575,944.43024,-0.2561086,0.25963593,1.8658534,24
2024-08-19,alanya,26.657309,52.698612,0.0,946.95575,0.42569923,0.18155384,1.5808002,24
2024-08-20,alanya,26.420889,61.53905,0.0008546918479623855,947.2165,0.5864966,0.19007449,1.5614125,24
2024-08-21,alanya,27.256418,62.561993,0.021905341668571054,944.5756,0.13851695,0.83883524,1.5522114,24
2024-08-22,alanya,25.11555,73.578636,0.17848874267656356,944.0018,-0.09996291,1.3609605,1.7192599,24
2024-08-23,alanya,25.416016,79.84011,3.3048258628696203,946.8006,0.7862651,0.6006015,1.2189349,24
2024-08-24,alanya,27.086508,66.453766,4.162788391113281,946.69965,0.48623657,-0.11597967,1.0528871,24
2024-08-25,alanya,26.252676,66.09617,1.091453479602933,945.0552,-0.18894832,0.059099954,1.6181011,24
2024-08-26,alanya,26.057434,64.82436,0.0,946.37695,0.15274875,0.44723395,1.5651217,24
2024-08-27,alanya,25.666077,71.03051,1.042485237121582,947.7464,0.34705672,0.5165666,1.3102933,24
2024-08-28,alanya,25.552805,72.69109,0.4169285239186138,949.0828,0.7200432,0.3039446,1.3788996,24
2024-08-29,alanya,25.431946,74.01357,2.15126876719296,948.1076,0.6068942,0.455719,1.2361561,24
2024-08-30,alanya,25.114328,73.88034,2.2065192461013794,947.14154,0.49764824,0.23248418,1.3947176,24
